donation_id,business_id,reported_at,food_type,condition,quantity_lbs,ready_at,expires_at,status,is_synthetic,description,synthetic_source
synthetic_001,biz_scripps_mercy_hospital_san_diego,2026-08-20T17:25:00-07:00,packaged/produce,ambient,129,2026-08-20T17:45:00-07:00,2026-08-21T05:45:00-07:00,active,True,"cafeteria service line overage, packaged meals",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_002,biz_northgate_gonzalez_market,2026-08-20T17:45:00-07:00,packaged/produce,ambient,332,2026-08-20T18:05:00-07:00,2026-08-21T06:05:00-07:00,active,True,"day-old bakery, produce, dairy nearing date",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_003,biz_springhill_suites_san_diego_downtown_bayfront,2026-08-20T18:07:00-07:00,prepared,refrigerated,50,2026-08-20T18:27:00-07:00,2026-08-20T22:27:00-07:00,active,True,"conference catering overage, plated entrees",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_004,biz_manchester_grand_hyatt_san_diego,2026-08-20T18:10:00-07:00,prepared,refrigerated,288,2026-08-20T18:30:00-07:00,2026-08-20T22:30:00-07:00,active,True,"conference catering overage, plated entrees",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_005,biz_albertsons_14th_market,2026-08-20T18:13:00-07:00,packaged/produce,ambient,266,2026-08-20T18:33:00-07:00,2026-08-21T06:33:00-07:00,active,True,"day-old bakery, produce, dairy nearing date",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_006,biz_courtyard_by_marriott_san_diego_downtown,2026-08-20T19:05:00-07:00,prepared,refrigerated,49,2026-08-20T19:25:00-07:00,2026-08-20T23:25:00-07:00,active,True,"conference catering overage, plated entrees",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_007,biz_embassy_suites_by_hilton_san_diego_bay_downtown,2026-08-20T19:01:00-07:00,prepared,refrigerated,64,2026-08-20T19:21:00-07:00,2026-08-20T23:21:00-07:00,active,True,"banquet buffet trays (hot line, chafing)",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_008,biz_smart_final,2026-08-20T18:56:00-07:00,packaged/produce,ambient,258,2026-08-20T19:16:00-07:00,2026-08-21T07:16:00-07:00,active,True,"produce trims, deli overstock, packaged goods",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_009,biz_uc_san_diego_health_hillcrest_medical_center,2026-08-20T19:09:00-07:00,packaged/produce,ambient,86,2026-08-20T19:29:00-07:00,2026-08-21T07:29:00-07:00,active,True,"cafeteria service line overage, packaged meals",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_010,biz_ralphs_hillcrest,2026-08-20T19:04:00-07:00,packaged/produce,ambient,269,2026-08-20T19:24:00-07:00,2026-08-21T07:24:00-07:00,active,True,"day-old bakery, produce, dairy nearing date",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_011,biz_the_westin_san_diego_bayview,2026-08-20T20:45:00-07:00,prepared,refrigerated,58,2026-08-20T21:05:00-07:00,2026-08-21T01:05:00-07:00,active,True,"conference catering overage, plated entrees",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_012,biz_sheraton_san_diego_resort_sheraton_san_diego_hotel_marina,2026-08-20T19:37:00-07:00,prepared,refrigerated,134,2026-08-20T19:57:00-07:00,2026-08-20T23:57:00-07:00,active,True,"conference catering overage, plated entrees",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_013,biz_hard_rock_hotel_san_diego,2026-08-20T19:49:00-07:00,prepared,refrigerated,61,2026-08-20T20:09:00-07:00,2026-08-21T00:09:00-07:00,active,True,"banquet buffet trays (hot line, chafing)",Oscar-implementation/scripts/build_demo_data.py seed=20260820
synthetic_014,biz_the_us_grant_a_luxury_collection_hotel,2026-08-20T22:24:00-07:00,prepared,refrigerated,49,2026-08-20T22:44:00-07:00,2026-08-21T02:44:00-07:00,active,True,"banquet buffet trays (hot line, chafing)",Oscar-implementation/scripts/build_demo_data.py seed=20260820
